Exercise Name,Body Part,Equipment
90 Lat Stretch,Back,No Equipment
Ankle Flexion ,Legs - Calves and Shins,Resistance Bands/Cables
Anti-rotation Reverse Lunge,Full Body/Integrated,Resistance Bands/Cables
Bent Knee Push-up,"Arms, Chest, Shoulders",No Equipment
Bodyweight Squat,"Abs, Butt/Hips, Legs - Calves and Shins, Legs - Thighs",No Equipment
Calf Raise,Legs - Calves and Shins,Weight Machines / Selectorized
Cat-Cow,"Back, Chest",No Equipment
Chest Press,"Arms, Chest, Shoulders","Barbell, Bench"
Childs Pose,"Abs, Back, Butt/Hips, Legs - Thighs",No Equipment
Cobra Exercise,"Abs, Back",No Equipment
Contralateral Limb Raises,"Back, Butt/Hips, Shoulders",No Equipment
Crunch,Abs,No Equipment
Decline Plank,Abs,BOSU Trainer
Dirty Dog,"Abs, Butt/Hips",No Equipment
Forward Hurdle Run,"Butt/Hips, Legs - Calves and Shins",Hurdles
Forward Linear Jumps,"Butt/Hips, Full Body/Integrated, Legs - Calves and Shins, Legs - Thighs",No Equipment
Forward Stepping over Cones ,"Abs, Butt/Hips",Cones
Front Raise,Shoulders,Dumbbells
Glute Bridge Exercise,"Abs, Butt/Hips",No Equipment
Glute Press,Butt/Hips,Weight Machines / Selectorized
Half-kneeling Hay Baler,Abs,Medicine Ball
Hip Hinge,"Butt/Hips, Legs - Thighs",Barbell
Incline Chest Press,"Chest, Shoulders","Bench, Dumbbells"
Incline Reverse Fly,"Back, Shoulders","Bench, Dumbbells"
Kneeling ABC's,Abs,Stability Ball
Kneeling Hip-flexor Stretch ,"Butt/Hips, Legs - Thighs",No Equipment
Kneeling Lat Stretch (w/bench),Back,Bench
Kneeling TA Stretch,"Butt/Hips, Legs - Thighs",No Equipment
Lateral Neck Flexion,Neck,No Equipment
Lateral Raise,Shoulders,Dumbbells
Lateral Shoulder Raise,Shoulders,Weight Machines / Selectorized
Lateral Shuffles,"Butt/Hips, Legs - Thighs",Cones
Leg Crossover Stretch ,"Butt/Hips, Legs - Thighs",No Equipment
Lying Hamstrings Curl,Butt/Hips,Weight Machines / Selectorized
Modified Hurdler's Stretch,Legs - Thighs,No Equipment
Neck Flexion and Extension,Neck,No Equipment
Overhead Triceps Stretch,Arms,No Equipment
Partner Assisted Bodyweight Squats,"Abs, Butt/Hips, Legs - Thighs",No Equipment
Partner Tricep Extension,"Abs, Arms, Butt/Hips",Resistance Bands/Cables
Prone (Lying) Hamstrings Curl,Legs - Thighs,Resistance Bands/Cables
Quadruped Bent-knee Hip Extensions,"Abs, Butt/Hips",No Equipment
Rotator Cuff External Rotation,Shoulders,Resistance Bands/Cables
Rotator Cuff Internal Rotation,Shoulders,Resistance Bands/Cables
Seated Bent-Knee Biceps Stretch,Arms,No Equipment
Seated Biceps Curl,Arms,Weight Machines / Selectorized
Seated Butterfly Stretch ,Legs - Thighs,No Equipment
Seated Cable Press,Chest,"Resistance Bands/Cables, Weight Machines / Selectorized"
Seated Calf Stretch,Legs - Calves and Shins,No Equipment
Seated Chest Press  ,Chest,Weight Machines / Selectorized
