Country,Region,  Ranking Status Index,  S | Status Index,  Ranking Democracy Status,  SI | Democracy Status,  Q1 | Stateness,  Q1.1 | Monopoly on the use of force,  Q1.2 | State identity,  Q1.3 | No interference of religious dogmas,  Q1.4 | Basic administration,  Q2 | Political Participation,  Q2.1 | Free and fair elections,  Q2.2 | Effective power to govern,  Q2.3 | Association / assembly rights,  Q2.4 | Freedom of expression,  Q3 | Rule of Law,  Q3.1 | Separation of powers,  Q3.2 | Independent judiciary,  Q3.3 | Prosecution of office abuse,  Q3.4 | Civil rights,  Q4 | Stability of Democratic Institutions,  Q4.1 | Performance of democratic institutions,  Q4.2 | Commitment to democratic institutions,  Q5 | Political and Social Integration,  Q5.1 | Party system,  Q5.2 | Interest groups,  Q5.4 | Social capital,  Ranking Economy Status,  SII | Economy Status,  Q6 | Level of Socioeconomic Development,  Q6.1 | Socioeconomic barriers,  Q7 | Organization of the Market and Competition,  Q7.1 | Market organization,  Q7.2 | Competition policy,  Q7.3 | Liberalization of foreign trade,  Q7.4 | Banking system,  Q8 | Monetary and Fiscal Stability,  Q8.1 | Monetary stability,  Q8.2 | Fiscal stability,  Q9 | Private Property,  Q9.1 | Property rights,  Q9.2 | Private enterprise,  Q10 | Welfare Regime,  Q10.1 | Social safety nets,  Q10.2 | Equal opportunity,  Q11 | Economic Performance,  Q11.1 | Output strength,  Q12 | Sustainability,  Q12.1 | Environmental policy,  Q12.2 | Education / R&D policy,  Ranking Governance Index,  G | Governance Index,  Q13 | Level of Difficulty,  Q13.1 | Structural constraints,  Q13.2 | Civil society traditions,  Q13.3 | Conflict intensity,  Q13.4 | GNI p.c. Atlas method rescaled,  Q13.5 | UN Educ. Index rescaled,  Q13.6 | BTI Stateness & Rule of Law,  GII | Governance Performance,  Q14 | Steering Capability,  Q14.1 | Prioritization,  Q14.2 | Implementation,  Q14.3 | Policy learning,  Q15 | Resource Efficiency,  Q15.1 | Efficient use of assets,  Q15.2 | Policy coordination,  Q15.3 | Anti-corruption policy,  Q16 | Consensus-Building,  Q16.1 | Consensus on goals,  Q16.2 | Anti-democratic actors,  Q16.3 | Cleavage / conflict management,  Q17 | International Cooperation,  Q17.1 | Effective use of support,  Q17.2 | Credibility,  Q17.3 | Regional cooperation,  Total,Democracy/Autocracy,  S | Status Index.1,  Category,Status Index,  SI | Democracy Status.1,  Category.1,Democracy Status,  SII | Economy Status.1,  Category.2,Economy Status,  G | Governance Index.1,  Category.3,Governance Index,  Q13 | Level of Difficulty.1,  Category.4,0.4,  GII | Governance Performance.1,  Category.5,Governance Performance,Year
Afghanistan,7,126,2.916666667,119,3.083333333,3.5,2,6,3,3,3.25,3,2,4,4,3,4,3,3,2,3,3,3,2.666666667,3,3,2,126,2.75,1,1,3.25,3,3,4,3,4,4,4,3,2,4,2.5,2,3,3,3,2.5,3,2,92,4.022345679,8.791666667,10,9,9,9,8,7.75,4.133333333,3.666666667,4,3,4,3.333333333,4,3,3,4.2,3,4,5,5.333333333,5,5,6,4,Aut.,2.92,5,Failed,3.08,5,Hard-line autocracies,2.75,5,Rudimentary,4.02,4,Weak,8.8,1,Massive,4.133333333,4,Flawed,2022
Albania,1,28,6.675,27,7.1,9,10,9,10,7,7.75,7,7,10,7,5.5,5,5,4,8,6.5,5,8,6.75,6,6,7,35,6.25,5,5,8.25,7,8,10,8,7,8,6,6,6,6,6.5,6,7,6,6,5,5,5,18,6.284104938,4.458333333,6,6,4,5,2,3.75,7.166666667,7,7,7,7,6.333333333,6,7,6,7,9,7,6,8.333333333,7,8,10,0,Dem.,6.68,3,Limited,7.1,2,Defective democracies,6.25,3,Limited,6.28,2,Good,4.5,3,Moderate,7.166666667,2,Sound,2022
Algeria,4,73,5.039285714,76,4.65,7.75,9,8,6,8,3.75,4,2,5,4,4.25,4,4,4,5,2.5,3,2,5,4,5,6,68,5.428571429,5,5,4.5,4,4,6,4,6.5,6,7,5,5,5,6,7,5,6,6,5,6,4,76,4.671234568,5.166666667,7,5,5,6,3,5,5.233333333,5,5,5,5,4.666666667,4,5,5,5.6,5,5,6,5.666666667,5,6,6,2,Aut.,5.04,4,Very limited,4.65,4,Moderate autocracies,5.43,3,Limited,4.67,3,Moderate,5.2,3,Moderate,5.233333333,3,Fair,2022
Angola,5,101,4.210714286,79,4.6,7.25,8,7,10,4,4,4,2,4,6,3.75,3,4,4,4,3,3,3,5,5,5,5,111,3.821428571,2,2,4.75,4,4,6,5,5.5,6,5,4.5,4,5,4,4,4,3,3,3,3,3,81,4.461111111,6.25,7,7,4,7,7,5.5,4.866666667,4.333333333,5,4,4,4,3,5,4,4.8,6,4,6,6.333333333,6,6,7,3,Aut.,4.21,4,Very limited,4.6,4,Moderate autocracies,3.82,4,Very limited,4.46,3,Moderate,6.3,3,Moderate,4.866666667,4,Flawed,2022
Argentina,2,27,6.725,19,7.7,9,8,10,10,8,8.75,9,8,9,9,6.5,6,6,7,7,7,7,7,7.25,7,7,7,57,5.75,6,6,6.25,6,6,7,6,5,5,5,7,7,7,6.5,6,7,4,4,5.5,5,6,40,5.518981481,3.208333333,5,4,4,2,1,3.25,6.5,6,6,6,6,5.666666667,6,6,5,7,7,9,6,7.333333333,7,7,8,0,Dem.,6.73,3,Limited,7.7,2,Defective democracies,5.75,3,Limited,5.52,3,Moderate,3.2,4,Minor,6.5,2,Sound,2022
Armenia,6,37,6.428571429,39,6.75,8.5,8,10,9,7,7.75,9,5,9,8,5.75,6,5,6,6,6,6,6,5.75,5,6,6,40,6.107142857,5,5,6.75,6,6,8,7,7.5,8,7,7.5,7,8,6,6,6,5,5,5,5,5,63,4.929475309,4.145833333,6,4,4,5,2,3.875,5.666666667,5,5,5,5,5,5,5,5,6,7,5,6,6.666666667,7,7,6,0,Dem.,6.43,3,Limited,6.75,2,Defective democracies,6.11,3,Limited,4.93,3,Moderate,4.1,4,Minor,5.666666667,3,Fair,2022
Azerbaijan,6,95,4.470238095,108,3.583333333,8,8,8,9,7,2.25,2,2,3,2,3,2,3,4,3,2,2,2,2.666666667,2,3,3,73,5.357142857,5,5,4.5,4,4,4,6,7,7,7,4.5,4,5,5.5,5,6,6,6,5,5,5,97,3.976882716,4.916666667,5,8,4,5,2,5.5,4.483333333,5,5,5,5,4,4,5,3,3.6,4,3,5,5.333333333,6,5,5,6,Aut.,4.47,4,Very limited,3.58,5,Hard-line autocracies,5.36,3,Limited,3.98,4,Weak,4.9,3,Moderate,4.483333333,4,Flawed,2022
Bahrain,4,92,4.497619048,122,3.066666667,6.5,7,5,6,8,1.25,2,1,1,1,2.75,2,2,4,3,1.5,2,1,3.333333333,2,5,3,50,5.928571429,5,5,7,7,5,8,8,5.5,7,4,7.5,8,7,4.5,6,3,6,6,6,5,7,109,3.734035494,4.229166667,4,6,7,1,1,6.375,4.283333333,4.333333333,4,6,3,4.333333333,5,4,4,2.8,5,3,1,5.666666667,5,5,7,6,Aut.,4.5,4,Very limited,3.07,5,Hard-line autocracies,5.93,3,Limited,3.73,4,Weak,4.2,4,Minor,4.283333333,4,Flawed,2022
Bangladesh,7,84,4.821428571,86,4.25,7,8,9,5,6,3,4,2,3,3,3.25,3,4,3,3,3,3,3,5,5,5,5,72,5.392857143,3,3,5.75,5,6,7,5,6.5,7,6,6.5,5,8,4,4,4,7,7,5,6,4,78,4.565617284,6.645833333,7,6,7,8,6,5.875,4.933333333,4,4,5,3,4,4,5,3,4.4,6,4,4,7.333333333,7,7,8,6,Aut.,4.82,4,Very limited,4.25,4,Moderate autocracies,5.39,3,Limited,4.57,3,Moderate,6.6,2,Substantial,4.933333333,4,Flawed,2022
Belarus,6,90,4.608333333,94,3.966666667,8.5,10,8,9,7,2.25,2,2,3,2,2.75,2,3,4,2,2,2,2,4.333333333,3,4,6,75,5.25,7,7,4.75,4,6,6,3,4.5,5,4,3.5,3,4,6,6,6,5,5,6,6,6,123,2.777932099,4.895833333,6,7,6,4,1,5.375,3.133333333,3.333333333,3,4,3,3.666666667,3,4,4,2.2,2,2,2,3.333333333,3,3,4,6,Aut.,4.61,4,Very limited,3.97,5,Hard-line autocracies,5.25,3,Limited,2.78,5,Failed,4.9,3,Moderate,3.133333333,4,Flawed,2022
